name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
MLAlgorithms,rushter,Python,11168,1769,11168,10,2016-10-05 06:46:45+00:00,2026-08-20 06:35:49+00:00,MIT License
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,Jupyter Notebook,10979,6961,10979,849,2017-10-23 05:55:22+00:00,2026-08-20 03:24:40+00:00,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10946,1679,10946,7,2024-05-18 15:42:58+00:00,2026-08-19 23:00:42+00:00,No License
dolly,databrickslabs,Python,10804,1140,10804,5,2023-03-24 16:15:53+00:00,2026-08-20 05:59:23+00:00,Apache License 2.0
doccano,doccano,Python,10749,1823,10749,395,2018-05-09 06:10:05+00:00,2026-08-20 07:26:08+00:00,MIT License
mlcourse.ai,Yorko,Python,10690,5697,10690,3,2017-02-27 08:32:20+00:00,2026-08-20 07:09:49+00:00,Other
machine-learning-systems-design,chiphuyen,HTML,10533,1632,10533,11,2019-11-24 23:16:28+00:00,2026-08-20 05:52:32+00:00,No License
Machine-Learning,Jack-Cherish,Python,10371,5065,10371,7,2017-03-25 07:32:37+00:00,2026-08-19 13:54:16+00:00,No License
machine-learning-notes,roboticcam,Jupyter Notebook,10335,1825,10335,28,2018-02-15 15:42:33+00:00,2026-08-20 06:05:02+00:00,No License
3D-Machine-Learning,timzhang642,Unknown,10192,1797,10192,21,2017-08-12 15:20:54+00:00,2026-08-19 12:41:02+00:00,No License
tpot,EpistasisLab,Jupyter Notebook,10051,1563,10051,312,2015-11-03 21:08:40+00:00,2026-08-18 06:34:07+00:00,GNU Lesser General Public License v3.0
sktime,sktime,Python,9952,2297,9952,2405,2018-11-06 15:08:24+00:00,2026-08-20 08:29:17+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9484,3048,9484,47,2017-12-18 10:49:59+00:00,2026-08-18 09:58:10+00:00,Apache License 2.0
cog,replicate,Go,9459,695,9459,71,2021-02-26 23:43:09+00:00,2026-08-18 15:04:13+00:00,Apache License 2.0
golearn,sjwhitworth,Go,9439,1165,9439,89,2013-12-26 13:06:14+00:00,2026-08-19 15:38:52+00:00,MIT License
AIMLInterviews,alirezadir,Jupyter Notebook,9405,1656,9405,11,2021-01-31 03:52:09+00:00,2026-08-20 08:24:42+00:00,MIT License
machinelearning,dotnet,C#,9350,1950,9350,1008,2018-05-03 16:20:42+00:00,2026-08-19 12:01:37+00:00,MIT License
awesome-ml-for-cybersecurity,jivoi,Unknown,9301,1940,9301,33,2016-12-20 12:46:36+00:00,2026-08-20 06:14:41+00:00,Other
awesome-project-ideas,NirantK,Unknown,9271,1291,9271,7,2017-08-19 09:37:58+00:00,2026-08-20 07:19:42+00:00,MIT License
catboost,catboost,C++,9068,1319,9068,711,2017-07-18 05:29:04+00:00,2026-08-20 08:15:41+00:00,Apache License 2.0
machine_learning_examples,lazyprogrammer,Python,8912,6405,8912,33,2014-07-31 23:40:45+00:00,2026-08-19 15:39:41+00:00,No License
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8895,1294,8895,14,2017-11-09 01:21:40+00:00,2026-08-17 07:06:53+00:00,Apache License 2.0
pattern,clips,Python,8860,1558,8860,179,2011-05-03 15:29:01+00:00,2026-08-18 06:33:05+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,firmai,Python,8753,1409,8753,15,2019-03-21 21:00:35+00:00,2026-08-20 04:10:11+00:00,No License
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12 07:06:34+00:00,2026-08-17 09:47:16+00:00,MIT License
vowpal_wabbit,VowpalWabbit,C++,8706,1925,8706,1,2009-07-31 19:36:58+00:00,2026-08-20 03:35:17+00:00,Other
MachineLearning_Python,lawlite19,Python,8580,2516,8580,10,2016-10-17 15:44:59+00:00,2026-08-20 01:33:10+00:00,MIT License
Machine-Learning-Collection,aladdinpersson,Python,8486,2786,8486,118,2020-03-26 07:02:40+00:00,2026-08-19 04:20:32+00:00,MIT License
approachingalmost,abhishekkrthakur,Unknown,8372,1122,8372,54,2020-07-04 07:13:20+00:00,2026-08-18 03:42:18+00:00,No License
introduction_to_ml_with_python,amueller,Jupyter Notebook,8150,4670,8150,28,2016-05-29 18:29:47+00:00,2026-08-20 07:09:07+00:00,No License
auto-sklearn,automl,Python,8126,1324,8126,207,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,soulmachine,TeX,8041,1332,8041,11,2013-05-09 07:43:59+00:00,2026-08-19 14:04:41+00:00,No License
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24 04:43:14+00:00,2026-08-14 06:57:58+00:00,Apache License 2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT License
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1500,7844,4,2018-06-19 19:26:39+00:00,2026-08-18 08:45:23+00:00,Other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7791,3728,7791,26,2022-06-16 15:31:02+00:00,2026-08-20 07:42:43+00:00,MIT License
Machine-learning-learning-notes,Vay-keen,Unknown,7762,1878,7762,28,2018-03-24 06:48:10+00:00,2026-08-19 07:23:20+00:00,No License
awesome-youtubers,JoseDeFreitas,Markdown,7712,495,7712,2,2020-08-25 14:18:15+00:00,2026-08-20 07:20:56+00:00,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7606,2310,7606,19,2018-03-02 10:59:53+00:00,2026-08-18 19:44:22+00:00,No License
h2o-3,h2oai,Jupyter Notebook,7495,2026,7495,2882,2014-03-03 16:08:07+00:00,2026-08-20 06:25:37+00:00,Apache License 2.0
industry-machine-learning,firmai,Jupyter Notebook,7485,1249,7485,3,2019-05-03 05:08:15+00:00,2026-08-17 08:53:36+00:00,No License
